XsdFilePosition,Name,Type,SubstitutionGroup,IsAbstract,INullable
gml\coordinateReferenceSystems.xsd(12),AbstractSingleCRS,gml:AbstractCRSType,gml:AbstractCRS,TRUE,FALSE
gml\coordinateReferenceSystems.xsd(31),AbstractGeneralDerivedCRS,gml:AbstractGeneralDerivedCRSType,gml:AbstractSingleCRS,TRUE,FALSE
gml\coordinateReferenceSystems.xsd(50),definedByConversion,gml:GeneralConversionPropertyType,gml:conversion,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(55),CompoundCRS,gml:CompoundCRSType,gml:AbstractCRS,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(75),includesSingleCRS,gml:SingleCRSPropertyType,gml:componentReferenceSystem,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(94),GeodeticCRS,gml:GeodeticCRSType,gml:AbstractSingleCRS,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(117),usesEllipsoidalCS,gml:EllipsoidalCSPropertyType,gml:ellipsoidalCS,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(127),usesCartesianCS,gml:CartesianCSPropertyType,gml:cartesianCS,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(137),usesSphericalCS,gml:SphericalCSPropertyType,gml:sphericalCS,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(148),usesGeodeticDatum,gml:GeodeticDatumPropertyType,gml:geodeticDatum,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(162),VerticalCRS,gml:VerticalCRSType,gml:AbstractSingleCRS,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(182),usesVerticalCS,gml:VerticalCSPropertyType,gml:verticalCS,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(192),usesVerticalDatum,gml:VerticalDatumPropertyType,gml:verticalDatum,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(211),ProjectedCRS,gml:ProjectedCRSType,gml:AbstractGeneralDerivedCRS,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(253),DerivedCRS,gml:DerivedCRSType,gml:AbstractGeneralDerivedCRS,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(284),usesCS,gml:CoordinateSystemPropertyType,gml:coordinateSystem,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(303),EngineeringCRS,gml:EngineeringCRSType,gml:AbstractSingleCRS,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(325),usesEngineeringDatum,gml:EngineeringDatumPropertyType,gml:engineeringDatum,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(344),ImageCRS,gml:ImageCRSType,gml:AbstractSingleCRS,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(368),usesAffineCS,gml:AffineCSPropertyType,gml:affineCS,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(378),usesImageDatum,gml:ImageDatumPropertyType,gml:imageDatum,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(402),TemporalCRS,gml:TemporalCRSType,gml:AbstractSingleCRS,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(425),usesTimeCS,gml:TimeCSPropertyType,gml:timeCS,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(440),usesTemporalDatum,gml:TemporalDatumPropertyType,gml:temporalDatum,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(459),GeographicCRS,gml:GeographicCRSType,gml:AbstractSingleCRS,FALSE,FALSE
gml\coordinateReferenceSystems.xsd(491),GeocentricCRS,gml:GeocentricCRSType,gml:AbstractSingleCRS,FALSE,FALSE
gml\coordinateSystems.xsd(13),CoordinateSystemAxis,gml:CoordinateSystemAxisType,gml:Definition,FALSE,FALSE
gml\coordinateSystems.xsd(78),AbstractCoordinateSystem,gml:AbstractCoordinateSystemType,gml:Definition,TRUE,FALSE
gml\coordinateSystems.xsd(98),usesAxis,gml:CoordinateSystemAxisPropertyType,gml:axis,FALSE,FALSE
gml\coordinateSystems.xsd(117),EllipsoidalCS,gml:EllipsoidalCSType,gml:AbstractCoordinateSystem,FALSE,FALSE
gml\coordinateSystems.xsd(141),CartesianCS,gml:CartesianCSType,gml:AbstractCoordinateSystem,FALSE,FALSE
gml\coordinateSystems.xsd(165),VerticalCS,gml:VerticalCSType,gml:AbstractCoordinateSystem,FALSE,FALSE
gml\coordinateSystems.xsd(189),TimeCS,gml:TimeCSType,gml:AbstractCoordinateSystem,FALSE,FALSE
gml\coordinateSystems.xsd(208),TemporalCS,gml:TemporalCSType,gml:AbstractCoordinateSystem,FALSE,FALSE
gml\coordinateSystems.xsd(235),LinearCS,gml:LinearCSType,gml:AbstractCoordinateSystem,FALSE,FALSE
gml\coordinateSystems.xsd(259),UserDefinedCS,gml:UserDefinedCSType,gml:AbstractCoordinateSystem,FALSE,FALSE
gml\coordinateSystems.xsd(283),SphericalCS,gml:SphericalCSType,gml:AbstractCoordinateSystem,FALSE,FALSE
gml\coordinateSystems.xsd(307),PolarCS,gml:PolarCSType,gml:AbstractCoordinateSystem,FALSE,FALSE
gml\coordinateSystems.xsd(331),CylindricalCS,gml:CylindricalCSType,gml:AbstractCoordinateSystem,FALSE,FALSE
gml\coordinateSystems.xsd(355),AffineCS,gml:AffineCSType,gml:AbstractCoordinateSystem,FALSE,FALSE
gml\coordinateSystems.xsd(374),ObliqueCartesianCS,gml:ObliqueCartesianCSType,gml:AbstractCoordinateSystem,FALSE,FALSE
gml\coverage.xsd(29),AbstractCoverage,gml:AbstractCoverageType,gml:AbstractFeature,TRUE,FALSE
gml\coverage.xsd(43),AbstractDiscreteCoverage,gml:AbstractDiscreteCoverageType,gml:AbstractCoverage,TRUE,FALSE
gml\coverage.xsd(58),AbstractContinuousCoverage,gml:AbstractContinuousCoverageType,gml:AbstractFeature,TRUE,FALSE
gml\coverage.xsd(98),DataBlock,gml:DataBlockType,gml:AbstractObject,FALSE,FALSE
gml\coverage.xsd(135),File,gml:FileType,gml:AbstractObject,FALSE,FALSE
gml\coverage.xsd(164),coverageFunction,gml:CoverageFunctionType,gml:AbstractObject,FALSE,FALSE
gml\coverage.xsd(178),CoverageMappingRule,gml:MappingRuleType,gml:AbstractObject,FALSE,FALSE
gml\coverage.xsd(196),GridFunction,gml:GridFunctionType,gml:AbstractObject,FALSE,FALSE
gml\coverage.xsd(258),MultiPointCoverage,gml:MultiPointCoverageType,gml:AbstractDiscreteCoverage,FALSE,FALSE
gml\coverage.xsd(282),multiPointDomain,gml:MultiPointDomainType,gml:domainSet,FALSE,FALSE
gml\coverage.xsd(292),MultiCurveCoverage,gml:MultiCurveCoverageType,gml:AbstractDiscreteCoverage,FALSE,FALSE
gml\coverage.xsd(316),multiCurveDomain,gml:MultiCurveDomainType,gml:domainSet,FALSE,FALSE
gml\coverage.xsd(326),MultiSurfaceCoverage,gml:MultiSurfaceCoverageType,gml:AbstractDiscreteCoverage,FALSE,FALSE
gml\coverage.xsd(350),multiSurfaceDomain,gml:MultiSurfaceDomainType,gml:domainSet,FALSE,FALSE
gml\coverage.xsd(360),MultiSolidCoverage,gml:MultiSolidCoverageType,gml:AbstractDiscreteCoverage,FALSE,FALSE
gml\coverage.xsd(384),multiSolidDomain,gml:MultiSolidDomainType,gml:domainSet,FALSE,FALSE
